Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
217,Entry long,2026-04-15 22:15,L,4792.085,20.17,96656.35445,156.43,0.16,166.12,0.17,-11.99,-0.01,93618.71,93.62
218,Exit short,2026-04-16 13:15,Margin call,4821.325,0.2,963.507,-0.95,-0.10,0.37,0.04,-0.85,-0.09,93598.5,93.60
218,Entry short,2026-04-16 13:15,S,4817.535,0.2,963.507,-0.95,-0.10,0.37,0.04,-0.85,-0.09,93598.5,93.60
219,Exit short,2026-04-16 13:45,2R partial,4787.696,20.09,96784.27815,580.17,0.60,589.79,0.61,-140.36,-0.15,94188.34,94.19
219,Entry short,2026-04-16 13:15,S,4817.535,20.09,96784.27815,580.17,0.60,589.79,0.61,-140.36,-0.15,94188.34,94.19
220,Exit short,2026-04-17 01:15,L,4779.115,19.89,95820.77115,745.09,0.78,949.61,0.99,-138.97,-0.15,94943.02,94.94
220,Entry short,2026-04-16 13:15,S,4817.535,19.89,95820.77115,745.09,0.78,949.61,0.99,-138.97,-0.15,94943.02,94.94
221,Exit long,2026-04-17 01:15,2R partial,4767.908,20.39,97446.15485,-247.98,-0.25,116.78,0.12,-238.26,-0.24,94685.29,94.69
221,Entry long,2026-04-17 01:15,L,4779.115,20.39,97446.15485,-247.98,-0.25,116.78,0.12,-238.26,-0.24,94685.29,94.69
222,Exit long,2026-04-17 01:15,HTF runner,4767.908,20.39,97446.15485,-247.98,-0.25,116.78,0.12,-238.26,-0.24,94447.06,94.45
222,Entry long,2026-04-17 01:15,L,4779.115,20.39,97446.15485,-247.98,-0.25,116.78,0.12,-238.26,-0.24,94447.06,94.45
223,Exit short,2026-04-17 05:15,Margin call,4805.245,1,4804.855,-1.35,-0.03,0,0.00,-0.87,-0.02,94426.75,94.43
223,Entry short,2026-04-17 05:15,S,4804.855,1,4804.855,-1.35,-0.03,0,0.00,-0.87,-0.02,94426.75,94.43
224,Exit short,2026-04-17 06:15,2R partial,4784.304,20.23,97202.21665,396.35,0.41,406.03,0.42,-18.92,-0.02,94832.81,94.83
224,Entry short,2026-04-17 05:15,S,4804.855,20.23,97202.21665,396.35,0.41,406.03,0.42,-18.92,-0.02,94832.81,94.83
225,Exit short,2026-04-17 09:15,L,4793.305,19.23,92397.36165,203.65,0.22,491.61,0.53,-17.99,-0.02,95045.7,95.05
225,Entry short,2026-04-17 05:15,S,4804.855,19.23,92397.36165,203.65,0.22,491.61,0.53,-17.99,-0.02,95045.7,95.05
226,Exit long,2026-04-17 11:45,HTF runner,4800.8,20.34,97495.8237,132.93,0.14,142.7,0.15,-234.51,-0.24,95168.89,95.17
226,Entry long,2026-04-17 09:15,L,4793.305,20.34,97495.8237,132.93,0.14,142.7,0.15,-234.51,-0.24,95168.89,95.17
227,Exit long,2026-04-17 12:45,2R partial,4825.299,20.34,97495.8237,631.19,0.65,641.01,0.66,-234.51,-0.24,95809.83,95.81
227,Entry long,2026-04-17 09:15,L,4793.305,20.34,97495.8237,631.19,0.65,641.01,0.66,-234.51,-0.24,95809.83,95.81
228,Exit short,2026-04-19 22:15,Margin call,4794.97,0.28,1341.242,-1.62,-0.12,0,0.00,-1.48,-0.11,95788.77,95.79
228,Entry short,2026-04-19 22:15,S,4790.15,0.28,1341.242,-1.62,-0.12,0,0.00,-1.48,-0.11,95788.77,95.79
229,Exit short,2026-04-20 01:30,Margin call,4812.345,0.36,1724.454,-8.34,-0.48,19.02,1.10,-8.16,-0.47,95780.61,95.78
229,Entry short,2026-04-19 22:15,S,4790.15,0.36,1724.454,-8.34,-0.48,19.02,1.10,-8.16,-0.47,95780.61,95.78
230,Exit short,2026-04-20 17:15,L,4808.915,40.23,192707.7345,-793.53,-0.41,2125.79,1.10,-1529.71,-0.79,95006.34,95.01
230,Entry short,2026-04-19 22:15,S,4790.15,40.23,192707.7345,-793.53,-0.41,2125.79,1.10,-1529.71,-0.79,95006.34,95.01
231,Exit long,2026-04-20 17:15,Margin call,4808.915,1,4808.915,-0.96,-0.02,0,0.00,-0.48,-0.01,94986.37,94.99
231,Entry long,2026-04-20 17:15,L,4808.915,1,4808.915,-0.96,-0.02,0,0.00,-0.48,-0.01,94986.37,94.99
232,Exit long,2026-04-21 01:15,S,4814.82,39.55,190192.5882,195.48,0.10,949.56,0.50,-167.33,-0.09,95200.87,95.20
232,Entry long,2026-04-20 17:15,L,4808.915,39.55,190192.5882,195.48,0.10,949.56,0.50,-167.33,-0.09,95200.87,95.20
233,Exit short,2026-04-21 01:15,Margin call,4814.82,1,4814.82,-0.96,-0.02,0,0.00,-0.48,-0.01,95180.87,95.18
233,Entry short,2026-04-21 01:15,S,4814.82,1,4814.82,-0.96,-0.02,0,0.00,-0.48,-0.01,95180.87,95.18
234,Exit short,2026-04-21 02:30,HTF runner,4803.138,19.27,92781.5814,206.58,0.22,215.83,0.23,-91.18,-0.10,95396.72,95.40
234,Entry short,2026-04-21 01:15,S,4814.82,19.27,92781.5814,206.58,0.22,215.83,0.23,-91.18,-0.10,95396.72,95.40
235,Exit short,2026-04-21 06:45,2R partial,4775.06,20.27,97596.4014,786.5,0.81,796.18,0.82,-95.91,-0.10,96192.98,96.19
235,Entry short,2026-04-21 01:15,S,4814.82,20.27,97596.4014,786.5,0.81,796.18,0.82,-95.91,-0.10,96192.98,96.19
236,Exit long,2026-04-24 17:15,S,4727.935,41.71,196156.7077,1006.13,0.51,1552.85,0.79,-570.4,-0.29,97199.1,97.20
236,Entry long,2026-04-24 13:15,L,4702.87,41.71,196156.7077,1006.13,0.51,1552.85,0.79,-570.4,-0.29,97199.1,97.20
237,Exit short,2026-04-24 17:15,Margin call,4729.505,0.08,378.2348,-0.2,-0.05,0,0.00,-0.16,-0.04,97179.22,97.18
237,Entry short,2026-04-24 17:15,S,4727.935,0.08,378.2348,-0.2,-0.05,0,0.00,-0.16,-0.04,97179.22,97.18
238,Exit short,2026-04-24 20:00,2R partial,4712.912,20.85,98577.44475,293.55,0.30,303.37,0.31,-42.59,-0.04,97482.63,97.48
238,Entry short,2026-04-24 17:15,S,4727.935,20.85,98577.44475,293.55,0.30,303.37,0.31,-42.59,-0.04,97482.63,97.48
239,Exit short,2026-04-27 01:15,L,4692.88,20.77,98199.20995,708.53,0.72,1143.54,1.16,-42.43,-0.04,98200.97,98.20
239,Entry short,2026-04-24 17:15,S,4727.935,20.77,98199.20995,708.53,0.72,1143.54,1.16,-42.43,-0.04,98200.97,98.20
240,Exit long,2026-04-27 01:15,HTF runner,4697.34,21.12,99113.6256,74.36,0.08,84.28,0.09,-48.14,-0.05,98265.43,98.27
240,Entry long,2026-04-27 01:15,L,4692.88,21.12,99113.6256,74.36,0.08,84.28,0.09,-48.14,-0.05,98265.43,98.27
241,Exit long,2026-04-27 02:45,2R partial,4718.931,21.11,99066.6968,530.07,0.54,540.03,0.55,-48.12,-0.05,98805.4,98.81
241,Entry long,2026-04-27 01:15,L,4692.88,21.11,99066.6968,530.07,0.54,540.03,0.55,-48.12,-0.05,98805.4,98.81
242,Exit short,2026-04-27 05:15,Margin call,4720.04,0.04,188.737,-0.1,-0.05,0,0.00,-0.08,-0.04,98785.45,98.79
242,Entry short,2026-04-27 05:15,S,4718.425,0.04,188.737,-0.1,-0.05,0,0.00,-0.08,-0.04,98785.45,98.79
243,Exit short,2026-04-27 13:00,2R partial,4696.239,21.06,99370.0305,447.41,0.45,457.3,0.46,-43.95,-0.04,99242.79,99.24
243,Entry short,2026-04-27 05:15,S,4718.425,21.06,99370.0305,447.41,0.45,457.3,0.46,-43.95,-0.04,99242.79,99.24
244,Exit short,2026-04-28 05:30,HTF runner,4644.465,21.02,99181.2935,1534.96,1.55,1544.72,1.56,-43.87,-0.04,100787.66,100.79
244,Entry short,2026-04-27 05:15,S,4718.425,21.02,99181.2935,1534.96,1.55,1544.72,1.56,-43.87,-0.04,100787.66,100.79
245,Exit long,2026-04-30 08:00,2R partial,4626.497,22.04,100355.834,1591.93,1.59,1602.12,1.60,-37.59,-0.04,102369.56,102.37
245,Entry long,2026-04-30 05:15,L,4553.35,22.04,100355.834,1591.93,1.59,1602.12,1.60,-37.59,-0.04,102369.56,102.37
246,Exit long,2026-05-01 05:15,S,4614.205,22.05,100401.3675,1321.64,1.32,2055.93,2.05,-37.6,-0.04,103701.23,103.70
246,Entry long,2026-04-30 05:15,L,4553.35,22.05,100401.3675,1321.64,1.32,2055.93,2.05,-37.6,-0.04,103701.23,103.70
247,Exit short,2026-05-01 05:15,HTF runner,4614.205,22.07,101835.5044,-20.37,-0.02,0,0.00,0,0.00,103670.68,103.67
247,Entry short,2026-05-01 05:15,S,4614.205,22.07,101835.5044,-20.37,-0.02,0,0.00,0,0.00,103670.68,103.67
248,Exit short,2026-05-01 08:15,2R partial,4568.252,22.07,101835.5044,993.92,0.98,1004,0.99,-54.21,-0.05,104674.78,104.67
248,Entry short,2026-05-01 05:15,S,4614.205,22.07,101835.5044,993.92,0.98,1004,0.99,-54.21,-0.05,104674.78,104.67
249,Exit long,2026-05-01 14:00,2R partial,4657.609,22.28,102298.1744,1452.75,1.42,1463.12,1.43,-116.84,-0.11,106117.3,106.12
249,Entry long,2026-05-01 13:15,L,4591.48,22.28,102298.1744,1452.75,1.42,1463.12,1.43,-116.84,-0.11,106117.3,106.12
250,Exit long,2026-05-04 01:15,S,4600.73,22.29,102344.0892,185.69,0.18,1530.12,1.49,-116.89,-0.11,106313.23,106.31
