Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
53,Exit short,2026-01-04 23:15,L,4370.335,0.57,2491.0596,-0.53,-0.02,34.16,1.37,-2.32,-0.09,361.21,0.36
53,Entry short,2026-01-02 14:15,S,4370.28,0.57,2491.0596,-0.53,-0.02,34.16,1.37,-2.32,-0.09,361.21,0.36
54,Exit long,2026-01-05 00:15,HTF runner,4384.894,0.57,2491.09095,7.8,0.31,8.05,0.32,-9.27,-0.37,368.76,0.37
54,Entry long,2026-01-04 23:15,L,4370.335,0.57,2491.09095,7.8,0.31,8.05,0.32,-9.27,-0.37,368.76,0.37
55,Exit long,2026-01-06 20:45,2R partial,4494.898,0.57,2491.09095,70.5,2.83,70.75,2.84,-9.27,-0.37,439.5,0.44
55,Entry long,2026-01-04 23:15,L,4370.335,0.57,2491.09095,70.5,2.83,70.75,2.84,-9.27,-0.37,439.5,0.44
56,Exit short,2026-01-07 23:15,2R partial,4462.953,0.56,2497.432,-2.32,-0.09,0.09,0.00,-2.07,-0.08,436.93,0.44
56,Entry short,2026-01-07 23:15,S,4459.7,0.56,2497.432,-2.32,-0.09,0.09,0.00,-2.07,-0.08,436.93,0.44
57,Exit short,2026-01-07 23:15,HTF runner,4462.953,0.56,2497.432,-2.32,-0.09,0.09,0.00,-2.07,-0.08,434.86,0.43
57,Entry short,2026-01-07 23:15,S,4459.7,0.56,2497.432,-2.32,-0.09,0.09,0.00,-2.07,-0.08,434.86,0.43
58,Exit long,2026-01-08 16:00,2R partial,4457.873,0.56,2477.062,18.85,0.76,19.1,0.77,-2.43,-0.10,453.46,0.45
58,Entry long,2026-01-08 14:15,L,4423.325,0.56,2477.062,18.85,0.76,19.1,0.77,-2.43,-0.10,453.46,0.45
59,Exit long,2026-01-12 00:00,HTF runner,4550.15,0.57,2521.29525,71.78,2.85,72.04,2.86,-2.47,-0.10,525.49,0.53
59,Entry long,2026-01-08 14:15,L,4423.325,0.57,2521.29525,71.78,2.85,72.04,2.86,-2.47,-0.10,525.49,0.53
60,Exit short,2026-01-15 06:15,L,4605.485,1.08,4985.928,11.01,0.22,37.88,0.76,-2.76,-0.06,536.5,0.54
60,Entry short,2026-01-14 23:15,S,4616.6,1.08,4985.928,11.01,0.22,37.88,0.76,-2.76,-0.06,536.5,0.54
61,Exit long,2026-01-15 06:15,HTF runner,4605.485,0.55,2533.01675,-0.51,-0.02,0,0.00,0,0.00,535.74,0.54
61,Entry long,2026-01-15 06:15,L,4605.485,0.55,2533.01675,-0.51,-0.02,0,0.00,0,0.00,535.74,0.54
62,Exit long,2026-01-15 10:15,S,4612.56,0.54,2486.9619,3.32,0.13,4.47,0.18,-4.36,-0.18,539.31,0.54
62,Entry long,2026-01-15 06:15,L,4605.485,0.54,2486.9619,3.32,0.13,4.47,0.18,-4.36,-0.18,539.31,0.54
63,Exit short,2026-01-15 10:15,2R partial,4615.12,0.54,2490.7824,-1.88,-0.08,0.44,0.02,-1.63,-0.07,537.18,0.54
63,Entry short,2026-01-15 10:15,S,4612.56,0.54,2490.7824,-1.88,-0.08,0.44,0.02,-1.63,-0.07,537.18,0.54
64,Exit short,2026-01-15 10:15,HTF runner,4615.12,0.54,2490.7824,-1.88,-0.08,0.44,0.02,-1.63,-0.07,535.55,0.54
64,Entry short,2026-01-15 10:15,S,4612.56,0.54,2490.7824,-1.88,-0.08,0.44,0.02,-1.63,-0.07,535.55,0.54
65,Exit long,2026-01-15 14:15,HTF runner,4599.955,0.55,2529.97525,-0.51,-0.02,0,0.00,0,0.00,534.8,0.53
65,Entry long,2026-01-15 14:15,L,4599.955,0.55,2529.97525,-0.51,-0.02,0,0.00,0,0.00,534.8,0.53
66,Exit long,2026-01-15 14:30,2R partial,4607.471,0.54,2483.9757,3.56,0.14,3.81,0.15,-2.13,-0.09,538.61,0.54
66,Entry long,2026-01-15 14:15,L,4599.955,0.54,2483.9757,3.56,0.14,3.81,0.15,-2.13,-0.09,538.61,0.54
67,Exit short,2026-01-16 01:00,2R partial,4597.101,0.54,2491.7058,8.77,0.35,9.02,0.36,-0.76,-0.03,547.13,0.55
67,Entry short,2026-01-15 23:15,S,4614.27,0.54,2491.7058,8.77,0.35,9.02,0.36,-0.76,-0.03,547.13,0.55
68,Exit short,2026-01-16 02:15,L,4598.355,0.54,2491.7058,8.1,0.32,10.82,0.43,-0.76,-0.03,555.48,0.56
68,Entry short,2026-01-15 23:15,S,4614.27,0.54,2491.7058,8.1,0.32,10.82,0.43,-0.76,-0.03,555.48,0.56
69,Exit long,2026-01-16 02:15,HTF runner,4598.355,0.55,2529.09525,-0.51,-0.02,0,0.00,0,0.00,554.72,0.55
69,Entry long,2026-01-16 02:15,L,4598.355,0.55,2529.09525,-0.51,-0.02,0,0.00,0,0.00,554.72,0.55
70,Exit long,2026-01-16 06:15,S,4604.89,0.54,2483.1117,3.03,0.12,9.45,0.38,-4.02,-0.16,558,0.56
70,Entry long,2026-01-16 02:15,L,4598.355,0.54,2483.1117,3.03,0.12,9.45,0.38,-4.02,-0.16,558,0.56
71,Exit short,2026-01-16 15:15,2R partial,4570.364,0.54,2486.6406,18.15,0.73,18.4,0.74,-8.62,-0.35,575.9,0.58
71,Entry short,2026-01-16 06:15,S,4604.89,0.54,2486.6406,18.15,0.73,18.4,0.74,-8.62,-0.35,575.9,0.58
72,Exit short,2026-01-18 23:00,HTF runner,4649.78,0.55,2532.6895,-25.2,-0.99,37.37,1.48,-24.94,-0.98,550.95,0.55
72,Entry short,2026-01-16 06:15,S,4604.89,0.55,2532.6895,-25.2,-0.99,37.37,1.48,-24.94,-0.98,550.95,0.55
73,Exit long,2026-01-18 23:15,HTF runner,4654.225,0.54,2513.2815,-0.5,-0.02,0,0.00,0,0.00,550.2,0.55
73,Entry long,2026-01-18 23:15,L,4654.225,0.54,2513.2815,-0.5,-0.02,0,0.00,0,0.00,550.2,0.55
74,Exit long,2026-01-21 01:00,2R partial,4806.298,0.54,2513.2815,81.61,3.25,81.87,3.26,-0.79,-0.03,632.06,0.63
74,Entry long,2026-01-18 23:15,L,4654.225,0.54,2513.2815,81.61,3.25,81.87,3.26,-0.79,-0.03,632.06,0.63
75,Exit short,2026-01-29 14:15,2R partial,5547.639,0.45,2488.09725,-8.84,-0.36,5.24,0.21,-8.59,-0.35,622.97,0.62
75,Entry short,2026-01-29 14:15,S,5529.105,0.45,2488.09725,-8.84,-0.36,5.24,0.21,-8.59,-0.35,622.97,0.62
76,Exit short,2026-01-29 14:15,HTF runner,5547.639,0.45,2488.09725,-8.84,-0.36,5.24,0.21,-8.59,-0.35,614.38,0.61
76,Entry short,2026-01-29 14:15,S,5529.105,0.45,2488.09725,-8.84,-0.36,5.24,0.21,-8.59,-0.35,614.38,0.61
77,Exit long,2026-01-29 18:15,HTF runner,5355.095,0.47,2516.89465,-0.5,-0.02,0,0.00,0,0.00,613.63,0.61
77,Entry long,2026-01-29 18:15,L,5355.095,0.47,2516.89465,-0.5,-0.02,0,0.00,0,0.00,613.63,0.61
78,Exit long,2026-01-29 23:15,S,5421.79,0.46,2463.3437,30.18,1.23,42.9,1.74,-33.42,-1.36,644.06,0.64
78,Entry long,2026-01-29 18:15,L,5355.095,0.46,2463.3437,30.18,1.23,42.9,1.74,-33.42,-1.36,644.06,0.64
79,Exit short,2026-01-30 02:00,2R partial,5284.721,0.46,2494.0234,62.56,2.51,62.8,2.52,-13.76,-0.55,706.37,0.71
79,Entry short,2026-01-29 23:15,S,5421.79,0.46,2494.0234,62.56,2.51,62.8,2.52,-13.76,-0.55,706.37,0.71
80,Exit short,2026-02-02 01:00,HTF runner,4616.909,0.46,2494.0234,369.78,14.83,370,14.83,-13.76,-0.55,1076.4,1.08
80,Entry short,2026-01-29 23:15,S,5421.79,0.46,2494.0234,369.78,14.83,370,14.83,-13.76,-0.55,1076.4,1.08
81,Exit long,2026-02-03 16:30,HTF runner,4990.12,0.52,2518.3262,76.02,3.02,76.28,3.03,-0.83,-0.03,1152.18,1.15
81,Entry long,2026-02-03 06:15,L,4842.935,0.52,2518.3262,76.02,3.02,76.28,3.03,-0.83,-0.03,1152.18,1.15
82,Exit long,2026-02-04 01:00,2R partial,5049.821,0.52,2518.3262,107.07,4.25,107.33,4.26,-0.83,-0.03,1259.5,1.26
82,Entry long,2026-02-03 06:15,L,4842.935,0.52,2518.3262,107.07,4.25,107.33,4.26,-0.83,-0.03,1259.5,1.26
83,Exit short,2026-02-04 15:15,2R partial,4952.273,0.5,2524.0275,47.39,1.88,47.64,1.89,-1.9,-0.08,1306.63,1.31
83,Entry short,2026-02-04 14:15,S,5048.055,0.5,2524.0275,47.39,1.88,47.64,1.89,-1.9,-0.08,1306.63,1.31
84,Exit short,2026-02-04 15:30,HTF runner,4916.507,0.5,2524.0275,65.28,2.59,65.52,2.60,-1.9,-0.08,1372.16,1.37
84,Entry short,2026-02-04 14:15,S,5048.055,0.5,2524.0275,65.28,2.59,65.52,2.60,-1.9,-0.08,1372.16,1.37
85,Exit long,2026-02-04 23:00,HTF runner,4995.96,0.52,2553.473,43.91,1.72,44.17,1.73,-7.75,-0.30,1415.82,1.42
85,Entry long,2026-02-04 18:15,L,4910.525,0.52,2553.473,43.91,1.72,44.17,1.73,-7.75,-0.30,1415.82,1.42
86,Exit long,2026-02-05 02:15,S,4915.745,0.51,2504.36775,2.16,0.09,57.64,2.30,-7.6,-0.30,1418.23,1.42
86,Entry long,2026-02-04 18:15,L,4910.525,0.51,2504.36775,2.16,0.09,57.64,2.30,-7.6,-0.30,1418.23,1.42
87,Exit short,2026-02-06 00:00,2R partial,4687.91,0.51,2507.02995,115.71,4.61,115.95,4.62,-14.53,-0.58,1533.68,1.53
87,Entry short,2026-02-05 02:15,S,4915.745,0.51,2507.02995,115.71,4.61,115.95,4.62,-14.53,-0.58,1533.68,1.53
88,Exit short,2026-02-06 02:15,L,4788.055,0.52,2556.1874,65.89,2.58,135.21,5.29,-14.81,-0.58,1599.83,1.60
